Date,Description,Amount,Category
2023-10-01,Deposit from Parents,500.00,Income
2023-10-03,Textbook Purchase,-80.23,Education
2023-10-05,Coffee at Campus Cafe,-3.50,Food & Beverage
2023-10-08,Monthly Spotify Subscription,-9.99,Entertainment
2023-10-10,Grocery Shopping,-45.67,Groceries
2023-10-12,Movie Night,-12.00,Entertainment
2023-10-15,Pizza with Friends,-15.50,Food & Beverage
2023-10-18,Chemistry Lab Supplies,-25.00,Education
2023-10-20,Train Ticket Home,-25.00,Transportation
2023-10-23,Cell Phone Bill,-40.00,Utilities
2023-10-25,Campus T-shirt,-18.00,Apparel
2023-10-28,Dinner Date,-30.00,Food & Beverage
2023-10-30,Gym Membership,-25.00,Health & Fitness
2023-11-02,Laundry,-5.00,Utilities
2023-11-05,Amazon Purchase,-55.00,Shopping
2023-11-08,Coffee at Campus Cafe,-3.50,Food & Beverage
2023-11-10,Concert Ticket,-35.00,Entertainment
2023-11-12,Birthday Gift,-40.00,Gifts & Donations
2023-11-15,Deposit from Part-time Job,150.00,Income
2023-11-18,Printing Fees,-5.00,Education
2023-11-20,Study Snacks,-10.00,Food & Beverage
2023-11-23,Monthly Netflix Subscription,-13.99,Entertainment
2023-11-25,Grocery Shopping,-48.00,Groceries
2023-11-28,End of Month Pizza,-16.00,Food & Beverage
